Business Name,Website,Phone,Email,Instagram,Location,Google Rating,Reviews Count,Website Problem,AI Opportunity,Best Outreach Angle,Priority (1-10),Outreach Status,Outreach Date,Follow-Up Date,Reply?,Next Step,Notes
Brick & Mortar,brickandmortarstpete.com,(727) 822-6540,No public email - use IG DM,@brickandmortarkitchen,539 Central Ave St. Pete 33701,VERIFY,~604 (Yelp),Uses Resy for online booking BUT phone still rings during service for large parties / dietary Qs / changes — small crew mid-plating misses them,Missed-call text-back + after-hours Q&A + IG DM auto-response,"Resy handles bookings; the phone + DMs during service don't get answered",8,Finalized - Awaiting Send Approval,,,,Approve opener + send via IG DM,Co-owners Jason Ruhe & Hope Montgomery. IG @brickandmortarkitchen verified. No public email found - IG DM is best channel.
Bodega,eatatbodega.com,(727) 623-0942,No public email - use IG DM / contact form,@eatatbodega,1120 Central Ave St. Pete 33701,VERIFY,~2252 (Yelp),Counter-service Cuban / lunch-rush phone + 12K-follower IG DMs both pile up unanswered / catering inquiries can slip,Missed-call text-back + IG DM auto-response + catering lead capture,"Phone AND DMs go unanswered at the noon rush = lost $200-$500 catering orders",8,Finalized - Awaiting Send Approval,,,,Approve opener + send via IG DM,"Owners George & Debbie Sayegh (Brooklyn). IG @eatatbodega 12K followers. 2 locations (St. Pete + Seminole Heights Tampa). Has catering page. No public email - IG DM best channel."
Central Melt,VERIFY,VERIFY,VERIFY,VERIFY,685 Central Ave St. Pete,VERIFY,VERIFY,Small no-frills sandwich shop / likely no online order or reservation system,Online order nudge + FAQ + review request,"Busy lunch counter, phone rings during the rush — those are lost orders",7,Researched,,,,Verify contact then draft opener,Grilled cheese specialist.
Baba,VERIFY,VERIFY,VERIFY,VERIFY,2700 blk Central Ave St. Pete,VERIFY,VERIFY,Greek/Lebanese / reservation + catering demand likely unmanaged,Reservation request + catering capture + review flow,"Catering-friendly cuisine with no obvious lead capture for it",7,Researched,,,,Verify contact then draft opener,Greek & Lebanese-inspired.
Pacific Counter,VERIFY,VERIFY,VERIFY,VERIFY,600 blk Central Ave St. Pete,VERIFY,VERIFY,Fast-casual sushi/poke / phone + repeat-order follow-up likely weak,Missed-call text-back + reactivation/repeat-order SMS,"High-frequency casual diners — no follow-up to bring them back",7,Researched,,,,Verify contact then draft opener,Build-your-own sushi/poke.
The Lure,VERIFY,VERIFY,VERIFY,VERIFY,600 blk Central Ave St. Pete,VERIFY,VERIFY,Sushi / reservations + missed calls during service,Missed-call text-back + reservation capture + FAQ,"Dinner-service phone goes unanswered while staff is on the floor",7,Researched,,,,Verify contact then draft opener,Sushi.
Tryst,dinetryst.com,VERIFY,VERIFY,VERIFY,Downtown St. Pete (Central Ave),VERIFY,VERIFY,Mediterranean / website may lack quick-question + booking flow,FAQ + reservation request + review request,"No fast way for a customer to ask hours/booking without calling",7,Researched,,,,Verify contact then draft opener,Mediterranean. Website confirmed.
Il Ritorno,VERIFY,VERIFY,VERIFY,VERIFY,400 blk Central Ave St. Pete,VERIFY,VERIFY,Michelin-rec Italian / strong demand / waitlist + missed-call risk,Reservation/waitlist overflow capture + missed-call text-back,"In-demand reservations mean missed calls = lost high-ticket tables",6,Researched,,,,Verify contact then draft opener,Modern Italian. MICHELIN Guide recommended.
Parkshore Grill,parkshoregrill.com,VERIFY,VERIFY,VERIFY,Beach Drive St. Pete,VERIFY,VERIFY,Award-winning / larger — likely has systems / fit for premium build,Premium AI Front Desk: reservations + VIP follow-up + review engine,"Higher-end operation — pitch Premium Anchor Build, not entry offer",5,Researched,,,,Verify contact; flag as Premium Anchor candidate,Multiple Golden Spoon awards. Website confirmed.
BellaBrava,bellabrava.com,VERIFY,VERIFY,VERIFY,Beach Drive St. Pete,VERIFY,VERIFY,Established since 2005 / busy / likely multiple systems,Premium AI Front Desk + reactivation + review engine,"Long-running busy spot — Premium Anchor candidate",5,Researched,,,,Verify contact; flag as Premium Anchor candidate,New World Trattoria since 2005. Website confirmed.
400 Beach Seafood & Tap House,VERIFY,VERIFY,VERIFY,VERIFY,400 Beach Dr St. Pete,VERIFY,VERIFY,Larger award-winning operation / systems likely in place,Premium AI Front Desk: brunch/booking overflow + review engine,"Big-volume waterfront spot — Premium Anchor candidate",4,Researched,,,,Verify contact; flag as Premium Anchor candidate,Florida Trend Top 20. Brunch/business-lunch volume.
Fortu,VERIFY,VERIFY,VERIFY,VERIFY,Central Ave & Beach Dr St. Pete,VERIFY,VERIFY,Newer Michelin-rec Japanese / likely well-resourced,Premium AI Front Desk: reservation overflow + VIP follow-up,"Newer, well-funded — lower urgency, revisit after proof exists",5,Researched,,,,Verify contact; lower urgency,Opened Nov 2023. Michelin-recommended Apr 2025.
