Business Name,Website,Phone,Email,Instagram,Location,Google Rating,Reviews Count,Website Problem,AI Opportunity,Best Outreach Angle,Priority (1-10),Outreach Status,Outreach Date,Follow-Up Date,Reply?,Next Step,Notes
Brick & Mortar,brickandmortarstpete.com,(727) 822-6540,VERIFY,VERIFY,539 Central Ave St. Pete 33701,VERIFY,~604 (Yelp),Dinner-only intimate fine dining / small team — phone unanswered during service / reservations appear phone-based,Missed-call text-back + reservation/waitlist capture,"Small crew during dinner rush = missed calls = missed high-ticket covers",8,Draft Ready,,,,Confirm which owner to address; approve opener; find email/IG,Co-owners Jason Ruhe & Hope Montgomery. Phone+website verified via search. Email/IG still to find.
Bodega,eatatbodega.com,(727) 623-0942,VERIFY,VERIFY,1180 Central Ave St. Pete 33701,VERIFY,~2252 (Yelp),Counter-service Cuban / catering orders run through the SAME phone line as the lunch rush / high walk-up volume,Catering lead capture + FAQ + missed-call text-back,"Catering calls hit the same line nobody can grab at noon = lost $200-$500 orders",8,Draft Ready,,,,Find owner name + email/IG; approve opener,Family-owned since 2012. Catering placed by phone at (727) 623-0942 per their site. Phone+website verified.
Central Melt,VERIFY,VERIFY,VERIFY,VERIFY,685 Central Ave St. Pete,VERIFY,VERIFY,Small no-frills sandwich shop / likely no online order or reservation system,Online order nudge + FAQ + review request,"Busy lunch counter, phone rings during the rush — those are lost orders",7,Researched,,,,Verify contact then draft opener,Grilled cheese specialist.
Baba,VERIFY,VERIFY,VERIFY,VERIFY,2700 blk Central Ave St. Pete,VERIFY,VERIFY,Greek/Lebanese / reservation + catering demand likely unmanaged,Reservation request + catering capture + review flow,"Catering-friendly cuisine with no obvious lead capture for it",7,Researched,,,,Verify contact then draft opener,Greek & Lebanese-inspired.
Pacific Counter,VERIFY,VERIFY,VERIFY,VERIFY,600 blk Central Ave St. Pete,VERIFY,VERIFY,Fast-casual sushi/poke / phone + repeat-order follow-up likely weak,Missed-call text-back + reactivation/repeat-order SMS,"High-frequency casual diners — no follow-up to bring them back",7,Researched,,,,Verify contact then draft opener,Build-your-own sushi/poke.
The Lure,VERIFY,VERIFY,VERIFY,VERIFY,600 blk Central Ave St. Pete,VERIFY,VERIFY,Sushi / reservations + missed calls during service,Missed-call text-back + reservation capture + FAQ,"Dinner-service phone goes unanswered while staff is on the floor",7,Researched,,,,Verify contact then draft opener,Sushi.
Tryst,dinetryst.com,VERIFY,VERIFY,VERIFY,Downtown St. Pete (Central Ave),VERIFY,VERIFY,Mediterranean / website may lack quick-question + booking flow,FAQ + reservation request + review request,"No fast way for a customer to ask hours/booking without calling",7,Researched,,,,Verify contact then draft opener,Mediterranean. Website confirmed.
Il Ritorno,VERIFY,VERIFY,VERIFY,VERIFY,400 blk Central Ave St. Pete,VERIFY,VERIFY,Michelin-rec Italian / strong demand / waitlist + missed-call risk,Reservation/waitlist overflow capture + missed-call text-back,"In-demand reservations mean missed calls = lost high-ticket tables",6,Researched,,,,Verify contact then draft opener,Modern Italian. MICHELIN Guide recommended.
Parkshore Grill,parkshoregrill.com,VERIFY,VERIFY,VERIFY,Beach Drive St. Pete,VERIFY,VERIFY,Award-winning / larger — likely has systems / fit for premium build,Premium AI Front Desk: reservations + VIP follow-up + review engine,"Higher-end operation — pitch Premium Anchor Build, not entry offer",5,Researched,,,,Verify contact; flag as Premium Anchor candidate,Multiple Golden Spoon awards. Website confirmed.
BellaBrava,bellabrava.com,VERIFY,VERIFY,VERIFY,Beach Drive St. Pete,VERIFY,VERIFY,Established since 2005 / busy / likely multiple systems,Premium AI Front Desk + reactivation + review engine,"Long-running busy spot — Premium Anchor candidate",5,Researched,,,,Verify contact; flag as Premium Anchor candidate,New World Trattoria since 2005. Website confirmed.
400 Beach Seafood & Tap House,VERIFY,VERIFY,VERIFY,VERIFY,400 Beach Dr St. Pete,VERIFY,VERIFY,Larger award-winning operation / systems likely in place,Premium AI Front Desk: brunch/booking overflow + review engine,"Big-volume waterfront spot — Premium Anchor candidate",4,Researched,,,,Verify contact; flag as Premium Anchor candidate,Florida Trend Top 20. Brunch/business-lunch volume.
Fortu,VERIFY,VERIFY,VERIFY,VERIFY,Central Ave & Beach Dr St. Pete,VERIFY,VERIFY,Newer Michelin-rec Japanese / likely well-resourced,Premium AI Front Desk: reservation overflow + VIP follow-up,"Newer, well-funded — lower urgency, revisit after proof exists",5,Researched,,,,Verify contact; lower urgency,Opened Nov 2023. Michelin-recommended Apr 2025.
